obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""647.3539""","=""0.0020""","=""647.3536""","=""0.0013""","=""7""","=""7.69e-03""",C,"=""54677.349""","=""70120.59""","=""1s2.2s.3s""","=""1S""","=""0""","=""1s2.2s.5p""","=""1P*""","=""1""",,"=""u28""","=""L4743""",
"=""656.4521""","=""0.0020""","=""656.4519""","=""0.0022""","=""9""","=""3.49e-02""",B,"=""56882.5474""","=""72111.75""","=""1s2.2p2""","=""1D""","=""2""","=""1s2.2s.6f""","=""1F*""","=""3""",,"=""u28""","=""L4743""",
"=""""","=""""","=""671.15""","=""0.09""","=""""","=""6.52e-03""",B,"=""58907.839""","=""73803.6""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2s.9d""","=""3D""","=""3""",,"=""u28""","=""""",
"=""""","=""""","=""671.21""","=""0.10""","=""""","=""4.89e-03""",B,"=""58907.472""","=""73801.8""","=""1s2.2s.3p""","=""3P*""","=""1""","=""1s2.2s.9d""","=""3D""","=""2""",,"=""u28""","=""""",
"=""""","=""""","=""671.23""","=""0.10""","=""""","=""1.63e-03""",B,"=""58907.839""","=""73801.8""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2s.9d""","=""3D""","=""2""",,"=""u28""","=""""",
"=""""","=""""","=""671.25""","=""0.14""","=""""","=""3.62e-03""",B,"=""58907.472""","=""73801""","=""1s2.2s.3p""","=""3P*""","=""0""","=""1s2.2s.9d""","=""3D""","=""1""",,"=""u28""","=""""",
"=""""","=""""","=""671.25""","=""0.14""","=""""","=""2.72e-03""",B,"=""58907.472""","=""73801""","=""1s2.2s.3p""","=""3P*""","=""1""","=""1s2.2s.9d""","=""3D""","=""1""",,"=""u28""","=""""",
"=""""","=""""","=""671.26""","=""0.14""","=""""","=""1.81e-04""",B,"=""58907.839""","=""73801""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2s.9d""","=""3D""","=""1""",,"=""u28""","=""""",
"=""672.60""","=""0.02""","=""672.598""","=""0.003""","=""2bl""","=""3.1e-03""",D,"=""56882.5474""","=""71746.17""","=""1s2.2p2""","=""1D""","=""2""","=""1s2.2s.6p""","=""1P*""","=""1""",,"=""u28""","=""L483""",
"=""678.6559""","=""0.0020""","=""678.656""","=""0.003""","=""9w*""","=""1.7e-03""",D,"=""52080.943""","=""66811.89""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.4p""","=""3P*""","=""2""",,"=""u28""","=""L4743""",
"=""678.6559""","=""0.0020""","=""678.656""","=""0.003""","=""9w*""","=""1.7e-03""",D,"=""52080.943""","=""66811.89""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.4p""","=""3P*""","=""1""",,"=""u28""","=""L4743""",
"=""678.6559""","=""0.0020""","=""678.656""","=""0.006""","=""9w*""","=""1.7e-03""",D,"=""52080.943""","=""66811.89""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.4p""","=""3P*""","=""0""",,"=""u28""","=""L4743""",
"=""688.422""","=""0.005""","=""688.422""","=""0.008""","=""1w*""","=""5.07e-03""",B,"=""58907.472""","=""73429.43""","=""1s2.2s.3p""","=""3P*""","=""0""","=""1s2.2s.8d""","=""3D""","=""1""",,"=""u28""","=""L483""",
"=""688.422""","=""0.005""","=""688.422""","=""0.008""","=""1w*""","=""3.81e-03""",B,"=""58907.472""","=""73429.43""","=""1s2.2s.3p""","=""3P*""","=""1""","=""1s2.2s.8d""","=""3D""","=""1""",,"=""u28""","=""""",
"=""688.422""","=""0.005""","=""688.423""","=""0.006""","=""1w*""","=""6.86e-03""",B,"=""58907.472""","=""73429.42""","=""1s2.2s.3p""","=""3P*""","=""1""","=""1s2.2s.8d""","=""3D""","=""2""",,"=""u28""","=""""",
"=""688.444""","=""0.005""","=""688.440""","=""0.006""","=""2w*""","=""2.28e-03""",B,"=""58907.839""","=""73429.42""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2s.8d""","=""3D""","=""2""",,"=""u28""","=""L483""",
"=""688.444""","=""0.005""","=""688.440""","=""0.008""","=""2w*""","=""2.54e-04""",B,"=""58907.839""","=""73429.43""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2s.8d""","=""3D""","=""1""",,"=""u28""","=""L483""",
"=""688.444""","=""0.005""","=""688.444""","=""0.005""","=""2w*""","=""9.13e-03""",B,"=""58907.839""","=""73429.34""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2s.8d""","=""3D""","=""3""",,"=""u28""","=""L483""",
"=""698.2749""","=""0.0020""","=""698.2730""","=""0.0010""","=""13""","=""""",,"=""42565.4502""","=""56882.5474""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2p2""","=""1D""","=""2""",,"=""""","=""L4743""",
