obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""481.7581""","=""""","=""9.1e-03""",D,"=""39955.053""","=""60706.558""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.(2P*<3/2>).6p<3/2>""","=""(3/2,3/2)""","=""1""",,"=""T6066c4,LS""","=""""",
"=""""","=""481.8052""","=""""","=""1.1e-02""",D,"=""39955.053""","=""60704.53""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.(2P*<3/2>).6p<3/2>""","=""(3/2,3/2)""","=""3""",,"=""T6066c4,LS""","=""""",
"=""""","=""482.1167""","=""""","=""8.0e-03""",D,"=""39760.285""","=""60496.358""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.(2P*<1/2>).6p<3/2>""","=""(1/2,3/2)""","=""2""",,"=""T6066c4,LS""","=""""",
"=""""","=""482.3319""","=""""","=""4.5e-03""",E,"=""39760.285""","=""60487.103""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.(2P*<1/2>).6p<3/2>""","=""(1/2,3/2)""","=""1""",,"=""T6066c4,LS""","=""""",
"=""""","=""486.6880""","=""""","=""2.6e-03""",E,"=""39955.053""","=""60496.358""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.(2P*<1/2>).6p<3/2>""","=""(1/2,3/2)""","=""2""",,"=""T6066c4,LS""","=""""",
"=""""","=""486.9074""","=""""","=""2.9e-04""",E,"=""39955.053""","=""60487.103""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.(2P*<1/2>).6p<3/2>""","=""(1/2,3/2)""","=""1""",,"=""T6066c4,LS""","=""""",
"=""494.7607""","=""494.7607""","=""30""","=""4.2e-02""",D,"=""40991.884""","=""61198.036""","=""3s2.3p.4s""","=""1P*""","=""1""","=""3s2.3p.(2P*<3/2>).6p<3/2>""","=""(3/2,3/2)""","=""0""",,"=""T1619CA""","=""L3521""",
"=""500.6061""","=""500.6059""","=""40""","=""2.8e-02""",D,"=""40991.884""","=""60962.105""","=""3s2.3p.4s""","=""1P*""","=""1""","=""3s2.3p.(2P*<3/2>).6p<3/2>""","=""(3/2,3/2)""","=""2""",,"=""T1619CA""","=""L3521""",
"=""549.323""","=""""","=""40""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""551.7535""","=""""","=""35""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""""","=""559.7940""","=""""","=""5.4e-03""",D,"=""39683.163""","=""57541.918""","=""3s2.3p.4s""","=""3P*""","=""0""","=""3s2.3p.5p""","=""3S""","=""1""",,"=""T6066c4,LS""","=""""",
"=""562.2221""","=""562.2220""","=""30""","=""1.6e-02""",D,"=""39760.285""","=""57541.918""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.5p""","=""3S""","=""1""",,"=""T6066c4,LS""","=""L3521""",
